HeatingSystem,Coefficients,Estimate,Std. Error,t value
elmisc,const,6.214917,0.145231,42.793
elmisc,lna,0.288513,0.020987,13.747
elmisc,mobileind,0.220494,0.046951,4.696
elmisc,semiind,0.140219,0.034374,4.079
elmisc,singleind,0.336873,0.027695,12.164
elmisc,prcelmsc,-0.029249,0.003478,-8.409
elmisc,yr,0.027468,0.004415,6.222
elmisc,lnn,0.257451,0.016387,15.711
elmisc,isurban,-0.034978,0.020458,-1.71
elmisc,isnortheast,0.096616,0.027239,3.547
elsph,const,-3.910497,0.857855,-4.558
elsph,lna,0.292995,0.044037,6.653
elsph,mobileind,0.748108,0.082814,9.034
elsph,semiind,0.446205,0.075513,5.909
elsph,singleind,0.738794,0.065725,11.241
elsph,prcelsph,-0.062397,0.004463,-13.982
elsph,yr,-0.048264,0.011643,-4.145
elsph,lnhdd,0.994105,0.039316,25.285
elsph,lncdd,0.311194,0.072772,4.276
elsph,issouth,0.25116,0.06252,4.017
elsph,isurban,-0.124005,0.058151,-2.132
elcol,const,-5.220471,0.260369,-20.05
elcol,lna,0.610096,0.023018,26.505
elcol,mobileind,0.419731,0.040577,10.344
elcol,semiind,0.294967,0.038826,7.597
elcol,singleind,0.501213,0.034678,14.453
elcol,prcelcol,-0.027025,0.006598,-4.096
elcol,yr,-0.073375,0.005171,-14.191
elcol,lncdd,1.102015,0.024475,45.025
elcol,issouth,0.203069,0.042536,4.774
elwth,const,7.4,9.71E-02,76.279
elwth,prcelwth,-4.14E-02,4.36E-03,-9.499
elwth,yr,9.16E-03,5.15E-03,1.779
elwth,hdd,6.89E-05,9.58E-06,7.194
elwth,lnn,7.52E-01,1.86E-02,40.393
elwth,isnortheast,2.58E-01,6.39E-02,4.031
elwth,issouth,2.69E-01,5.12E-02,5.248
elwth,iswest,1.80E-01,6.08E-02,2.95
elwth,isurban,-1.02E-01,2.95E-02,-3.461
ngsph,const,1.18,3.60E-01,3.287
ngsph,lna,4.45E-01,2.51E-02,17.764
ngsph,prcngsph,-3.84E-02,6.34E-03,-6.054
ngsph,yr,-5.10E-02,5.20E-03,-9.807
ngsph,lnhdd,7.13E-01,3.30E-02,21.621
ngsph,isnortheast,2.21E-01,4.16E-02,5.321
ngsph,issouth,2.16E-01,4.12E-02,5.236
ngsph,iswest,-2.13E-01,3.81E-02,-5.59
ngsph,mobileind,7.39E-01,8.80E-02,8.389
ngsph,semiind,0.576335,0.05032,11.453
ngsph,singleind,0.753706,0.047288,15.939
ngwth,const,9.13,5.18E-02,176.311
ngwth,lnn,6.82E-01,1.25E-02,54.799
ngwth,prcngwth,-2.20E-02,2.56E-03,-8.6
ngwth,yr,9.18E-03,2.90E-03,3.166
ngwth,hdd,4.40E-05,5.20E-06,8.469
ngwth,isnortheast,1.29E-01,2.11E-02,6.126
ngwth,issouth,7.27E-02,1.84E-02,3.96
ngwth,iswest,5.79E-02,2.00E-02,2.889
lpsph,const,5.37,8.35E-01,6.436
lpsph,lna,5.23E-01,1.13E-01,4.634
lpsph,hdd,1.60E-04,2.57E-05,6.223
lpsph,yr,-5.95E-02,1.78E-02,-3.352
lpsph,mobileind,4.71E-01,1.80E-01,2.614
lpsph,semiind,4.64E-01,2.61E-01,1.774
lpsph,singleind,6.48E-01,1.90E-01,3.419
lpsph,iswest,-3.01E-01,9.59E-02,-3.14
lpwth,const,8.68,1.09E-01,79.805
lpwth,lnn,8.10E-01,7.26E-02,11.148
lpwth,hdd,5.81E-05,1.71E-05,3.396
lpwth,isurban,1.68E-01,8.59E-02,1.961
fosph,const,5.22,4.56E-01,11.466
fosph,lna,6.48E-01,4.35E-02,14.909
fosph,yr,-7.95E-02,1.58E-02,-5.024
fosph,prcfosph,1.82E-01,1.05E-01,1.722
fosph,hdd,1.17E-04,1.83E-05,6.376
fosph,aptind,-5.68E-01,8.39E-02,-6.774
fowth,const,8.43,2.54E-01,33.244
fowth,lnn,8.40E-01,7.31E-02,11.49
fowth,prcfowth,2.76E-01,9.50E-02,2.902
fowth,iswest,2.41E-01,8.33E-02,2.894
othsph,const,-4.48,4.01E-01,-11.183
othsph,lna,4.99E-01,2.50E-02,19.915
othsph,lnhdd,8.70E-01,2.43E-02,35.788
othsph,lnprothsph,-0.939209,9.68E-02,-9.71E+00
othsph,yr,-7.83E-02,7.57E-03,-10.343
othsph,mobileind,7.54E-01,6.66E-02,11.337
othsph,semiind,5.48E-01,5.67E-02,9.669
othsph,singleind,7.69E-01,4.11E-02,18.725
othsph,isurban,2.06E-01,3.76E-02,5.464
othsph,iswest,-0.30655,0.037405,-8.195
othwth,const,5.71388,0.23697,24.112
othwth,lnhdd,0.15691,0.01113,14.097
othwth,lnn,0.73759,0.01424,51.788
othwth,lnprcothwth,-0.51582,0.06374,-8.092
othwth,isurban,0.03678,0.01636,2.248
othwth,iswest,0.06627,0.02307,2.872
